player_name,gp
Vince Carter,1541
Dirk Nowitzki,1522
LeBron James,1421
Jason Terry,1410
Tim Duncan,1392
Kevin Garnett,1382
Kobe Bryant,1346
Paul Pierce,1343
Jamal Crawford,1327
Andre Miller,1304
Ray Allen,1300
Derek Fisher,1287
Joe Johnson,1277
Carmelo Anthony,1260
Tony Parker,1254
Dwight Howard,1242
Kyle Korver,1232
Jason Kidd,1231
Andre Iguodala,1231
Pau Gasol,1226
Steve Nash,1217
Chris Paul,1214
Richard Jefferson,1181
Shawn Marion,1163
Tyson Chandler,1160
Thaddeus Young,1139
Lou Williams,1123
Rudy Gay,1120
Trevor Ariza,1118
Zach Randolph,1116
Jeff Green,1107
Zaza Pachulia,1098
Russell Westbrook,1094
Ben Wallace,1088
Paul Millsap,1085
Antawn Jamison,1083
Kyle Lowry,1078
LaMarcus Aldridge,1076
Marvin Williams,1072
Boris Diaw,1064
Juwan Howard,1062
Elton Brand,1058
Manu Ginobili,1057
Dwyane Wade,1054
Rashard Lewis,1049
Rasheed Wallace,1044
Chauncey Billups,1043
Kurt Thomas,1036
David West,1034
Mike Miller,1032
DeMar DeRozan,1031
Mike Conley,1025
Michael Finley,1021
DeAndre Jordan,1019
Tayshaun Prince,1017
Al Horford,1013
Jermaine O'Neal,1011
Nazr Mohammed,1005
Mike Bibby,1001
James Harden,1000
Hedo Turkoglu,997
Nicolas Batum,993
Metta World Peace,991
Erick Dampier,987
Mike Dunleavy,986
Kevin Durant,986
Devin Harris,985
Al Harrington,981
Shane Battier,977
JR Smith,977
D.J. Augustin,976
Robin Lopez,976
Marcus Camby,973
Raymond Felton,971
Nene,965
Lamar Odom,961
Rajon Rondo,957
Wesley Matthews,950
Joe Smith,948
Brook Lopez,946
Goran Dragic,946
Taj Gibson,945
JJ Redick,940
Antonio McDyess,939
Tracy McGrady,938
Matt Barnes,929
Richard Hamilton,921
Serge Ibaka,919
George Hill,915
Al Jefferson,915
Allen Iverson,914
Shaquille O'Neal,912
Nick Collison,910
Jrue Holiday,906
Jared Dudley,904
Luol Deng,902
Jerry Stackhouse,898
John Salmons,895
Jose Calderon,895
Josh Smith,894
Antoine Walker,893
Chris Bosh,893
Marc Gasol,891
Channing Frye,890
Samuel Dalembert,886
Stephen Curry,882
Caron Butler,881
Udonis Haslem,879
Kirk Hinrich,879
Jameer Nelson,878
Earl Watson,878
Grant Hill,876
Kevin Love,874
Bruce Bowen,873
Antonio Daniels,872
Steve Blake,870
Amir Johnson,870
Thabo Sefolosha,869
Brad Miller,868
Jarrett Jack,867
James Posey,864
JaVale McGee,863
Carlos Boozer,861
Patty Mills,860
Marco Belinelli,860
Stephen Jackson,858
Jason Richardson,857
Leandro Barbosa,850
CJ Miles,849
P.J. Brown,849
Amar'e Stoudemire,846
Stephon Marbury,846
Deron Williams,845
Gary Payton,845
Zydrunas Ilgauskas,843
Tony Battie,837
Baron Davis,835
Monta Ellis,833
Shaun Livingston,833
Brent Barry,833
Gerald Wallace,832
J.J. Barea,831
Beno Udrih,831
Luke Ridnour,830
Danny Green,830
Shareef Abdur-Rahim,830
David Lee,829
Harrison Barnes,829
Corey Maggette,827
Tobias Harris,827
Jeff Teague,826
Ersan Ilyasova,825
Darrell Armstrong,824
Tim Thomas,824
DeShawn Stevenson,824
Nikola Vucevic,823
Donyell Marshall,823
Tony Allen,820
Eddie Jones,820
Corey Brewer,819
Eric Gordon,818
Mo Williams,818
Clifford Robinson,817
Brendan Haywood,816
Malik Rose,813
Robert Horry,812
Rasho Nesterovic,811
Courtney Lee,811
Reggie Evans,809
Rasual Butler,809
Damon Stoudamire,808
Marcin Gortat,806
Dikembe Mutombo,805
Peja Stojakovic,804
Eric Snow,803
Kris Humphries,800
Bismack Biyombo,799
Andrei Kirilenko,797
Paul George,793
Anthony Johnson,793
Matt Bonner,792
Cory Joseph,790
Derrick Favors,790
Drew Gooden,790
Jason Williams,788
Andre Drummond,785
Sam Cassell,784
Gordon Hayward,784
Quentin Richardson,783
Kendrick Perkins,782
Lorenzen Wright,778
Jacque Vaughn,776
Jonas Valanciunas,774
Reggie Jackson,771
Wayne Ellington,770
Corliss Williamson,769
Damian Lillard,769
James Johnson,765
Blake Griffin,765
Jeff Foster,764
Jalen Rose,762
Arron Afflalo,762
Ish Smith,762
Kentavious Caldwell-Pope,759
Draymond Green,758
Brandon Bass,758
Kenyon Martin,757
David Wesley,756
Eric Bledsoe,756
Bobby Jackson,755
Jimmy Butler,754
Jae Crowder,753
Randy Foye,752
Kemba Walker,750
Markieff Morris,750
Cuttino Mobley,747
Ben Gordon,744
Luis Scola,743
Mason Plumlee,740
Vladimir Radmanovic,737
Ricky Davis,736
Jason Collins,735
Chris Kaman,735
Theo Ratliff,735
Adonal Foyle,733
Terrence Ross,733
Lindsey Hunter,733
Willie Green,731
Tristan Thompson,730
Dale Davis,730
