,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
0,AMD Athlon 64 3500+,CPU,2/20/2007,65,45,77,122,2200,Unknown,AMD,,,
1,AMD Athlon 200GE,CPU,9/6/2018,14,35,192,4800,3200,Unknown,AMD,,,
2,Intel Core i5-1145G7,CPU,9/2/2020,10,28,,,2600,Intel,Intel,,,
3,Intel Xeon E5-2603 v2,CPU,9/1/2013,22,80,160,1400,1800,Intel,Intel,,,
4,AMD Phenom II X4 980 BE,CPU,5/3/2011,45,125,258,758,3700,Unknown,AMD,,,
5,Intel Xeon E5-2470 v2,CPU,9/1/2013,22,95,160,1400,2400,Intel,Intel,,,
6,AMD Phenom X4 9750 (125W),CPU,3/27/2008,65,125,285,450,2400,Unknown,AMD,,,
7,Intel Pentium D 930,CPU,1/16/2006,65,130,140,376,3000,Intel,Intel,,,
8,Intel Core i3-1125G4,CPU,9/2/2020,10,28,,,2000,Intel,Intel,,,
9,AMD Athlon 64 X2 4200+,CPU,5/23/2006,90,89,156,154,2200,Unknown,AMD,,,
10,AMD Sempron 2800+,CPU,8/1/2004,130,62,80,37,1992,Unknown,AMD,,,
11,Intel Core i7-3632QM,CPU,10/19/2012,22,35,160,1480,2200,Intel,Intel,,,
12,AMD C-70,CPU,9/1/2012,40,9,75,,1000,Unknown,AMD,,,
13,Intel Core i5-8269U,CPU,4/5/2018,14,28,123,,2600,Intel,Intel,,,
14,AMD Phenom X4 9600 BE,CPU,12/19/2007,65,95,285,450,2300,Unknown,AMD,,,
15,Intel Pentium 3560Y,CPU,9/1/2013,22,12,118,1400,1200,Intel,Intel,,,
16,AMD Turion X2 Ultra ZM-84,CPU,9/1/2008,65,35,,,2300,Unknown,AMD,,,
17,Intel Pentium 4 506,CPU,6/1/2005,90,84,109,125,2660,Intel,Intel,,,
18,Intel Xeon E5-2430 v2,CPU,9/1/2013,22,80,160,1400,2500,Intel,Intel,,,
19,AMD Athlon 64 X2 4800+,CPU,5/23/2006,90,110,199,233,2400,Unknown,AMD,,,
20,Intel Core i5-3427U,CPU,6/1/2012,22,17,118,,1800,Intel,Intel,,,
21,AMD Opteron 148 HE,CPU,12/1/2004,90,55,,106,2200,Unknown,AMD,,,
22,AMD Athlon 1100,CPU,8/14/2000,180,60,120,37,1100,Unknown,AMD,,,
23,Intel Core i7-975,CPU,6/2/2009,45,130,263,731,3333,Intel,Intel,,,
24,AMD Athlon 64 3500+,CPU,1/1/2001,90,67,115,105,2200,Unknown,AMD,,,
25,Intel Pentium 4 HT 672,CPU,11/14/2005,90,84,109,169,3800,Intel,Intel,,,
26,Intel Pentium D 830,CPU,5/26/2005,90,130,206,169,3000,Intel,Intel,,,
27,AMD EPYC 7371,CPU,11/16/2018,14,170,213,4800,3100,GF,AMD,,,
28,Intel Pentium 4 HT 550,CPU,6/21/2004,90,115,109,125,3400,Intel,Intel,,,
29,Intel Pentium III 1266S,CPU,7/1/2001,130,30,80,44,1266,Intel,Intel,,,
30,AMD Sempron 140,CPU,7/22/2009,45,45,117,234,2700,Unknown,AMD,,,
31,AMD EPYC 7501,CPU,6/29/2017,14,170,213,4800,2000,GF,AMD,,,
32,Intel Atom E680,CPU,9/14/2010,45,4,26,47,1600,Intel,Intel,,,
33,Intel Xeon E5-2690 v2,CPU,9/1/2013,22,130,160,1400,3000,Intel,Intel,,,
34,Intel Xeon Platinum 8380,CPU,4/6/2021,10,270,,,2300,Intel,Intel,,,
35,Intel Xeon Phi 7120A,CPU,4/6/2014,22,300,350,5000,1238,Intel,Intel,,,
36,Intel Core i3-8020,CPU,9/1/2018,14,65,,,3700,Intel,Intel,,,
37,Intel Atom S1220,CPU,12/11/2012,32,8,,,1600,Intel,Intel,,,
38,AMD Phenom X4 9600,CPU,11/19/2007,65,95,285,450,2300,Unknown,AMD,,,
39,Intel Core i3-2330M,CPU,6/1/2011,32,35,149,624,2200,Intel,Intel,,,
40,AMD Opteron X2 180,CPU,9/26/2005,90,110,,233,2400,Unknown,AMD,,,
41,AMD E2-3200,CPU,9/7/2011,32,65,228,1178,2400,Unknown,AMD,,,
42,AMD Turion 64 MT-34,CPU,3/10/2005,90,25,125,114,1800,Unknown,AMD,,,
43,Intel Pentium III  866,CPU,6/1/2001,180,38,80,44,866,Intel,Intel,,,
44,Intel Core 2 Quad Q9550S,CPU,1/27/2009,45,65,107,820,2833,Intel,Intel,,,
45,Intel Core i7-4500U,CPU,6/4/2013,22,15,118,1300,1800,Intel,Intel,,,
46,AMD Opteron X2 185,CPU,3/6/2006,90,110,,233,2600,Unknown,AMD,,,
47,Intel Core i3-8300,CPU,2/14/2018,14,62,,,3700,Intel,Intel,,,
48,AMD Ryzen 5 1400,CPU,4/11/2017,14,65,192,4800,3200,GF,AMD,,,
49,AMD A4-3300M,CPU,6/14/2011,32,35,228,1178,1900,Unknown,AMD,,,
50,Intel Xeon 3.20,CPU,10/6/2003,130,97,237,286,3200,Intel,Intel,,,
51,AMD Opteron 848,CPU,12/1/2004,90,85,,106,2200,Unknown,AMD,,,
52,Intel Core 2 Extreme QX6700,CPU,11/1/2006,65,130,143,582,2666,Intel,Intel,,,
53,Intel Pentium Gold G6405T,CPU,3/16/2021,14,35,,,3500,Intel,Intel,,,
54,AMD A6-3600,CPU,6/30/2011,32,65,228,1178,2100,Unknown,AMD,,,
55,Intel Xeon Phi 7120X,CPU,6/17/2013,22,300,350,5000,1238,Intel,Intel,,,
56,Intel Core i9-10900K,CPU,4/30/2020,14,125,206,,3700,Intel,Intel,,,
57,Intel Pentium 2129Y,CPU,9/1/2012,22,10,118,1400,1100,Intel,Intel,,,
58,AMD Athlon 64 X2 5600+,CPU,12/12/2006,90,89,220,227,2800,Unknown,AMD,,,
59,AMD Athlon II X4 640,CPU,5/11/2010,45,95,169,300,3000,Unknown,AMD,,,
60,Intel Atom Z515,CPU,4/8/2009,45,1,26,47,1200,Intel,Intel,,,
61,AMD EPYC 7302,CPU,8/7/2019,7,155,74,3800,3000,TSMC,AMD,,,
62,Intel Celeron 3205U,CPU,3/1/2015,14,15,,,1500,Intel,Intel,,,
63,Intel Core i3-10305T,CPU,3/16/2021,14,35,,,3000,Intel,Intel,,,
64,AMD Ryzen 9 5900HX,CPU,1/12/2021,7,45,156,9800,3300,TSMC,AMD,,,
65,AMD EPYC 7502,CPU,8/7/2019,7,180,74,3800,2500,TSMC,AMD,,,
66,AMD Athlon 64 4000+,CPU,2/20/2007,90,62,230,227,2600,Unknown,AMD,,,
67,Intel Pentium III 1400S,CPU,1/8/2002,130,32,80,44,1400,Intel,Intel,,,
68,Intel Core i7-9850HE,CPU,NaT,14,45,149,,2700,Intel,Intel,,,
69,AMD Mobile Athlon 64 3400+,CPU,8/1/2005,130,82,193,106,2200,Unknown,AMD,,,
70,Intel Xeon E5-2620 v2,CPU,9/1/2013,22,80,160,1400,2100,Intel,Intel,,,
71,Intel Core i9-10850K,CPU,7/27/2020,14,125,206,,3600,Intel,Intel,,,
72,Intel Core i5-11600,CPU,3/16/2021,14,65,,,2800,Intel,Intel,,,
73,Intel Core i7-3555LE,CPU,6/3/2012,22,25,118,,2500,Intel,Intel,,,
74,Intel Xeon E3-1220L v2,CPU,5/14/2012,22,17,,,2300,Intel,Intel,,,
75,Intel Core i3-8130U,CPU,2/13/2018,14,15,123,,2400,Intel,Intel,,,
76,Intel Xeon Platinum 8260,CPU,12/11/2018,14,165,,8000,2400,Intel,Intel,,,
77,AMD Athlon 64 3500+,CPU,5/31/2005,90,67,156,154,2200,Unknown,AMD,,,
78,AMD Ryzen 9 5950X,CPU,11/5/2020,7,105,,,3400,TSMC,AMD,,,
79,Intel Atom N2600,CPU,12/1/2011,32,4,66,176,1600,Intel,Intel,,,
80,Intel Xeon Platinum 8352M,CPU,4/6/2021,10,185,,,2300,Intel,Intel,,,
81,AMD EPYC 7763,CPU,3/15/2021,7,280,,,2450,TSMC,AMD,,,
82,Intel Core i7-8809G,CPU,2/1/2018,14,65,,,3100,Intel,Intel,,,
83,AMD Ryzen Threadripper PRO 3955WX,CPU,7/14/2020,7,280,74,3800,3900,TSMC,AMD,,,
84,Intel Celeron 2980U,CPU,9/1/2013,22,15,118,1400,1600,Intel,Intel,,,
85,AMD Athlon 64 X2 4000+,CPU,5/23/2006,90,89,220,154,2000,Unknown,AMD,,,
86,Intel Xeon E5-2630L v2,CPU,9/1/2013,22,60,160,1400,2400,Intel,Intel,,,
