Product,Type,Date,Process_Size,TDP,Die_Size,Transistors,Frequency,Foundry,Vendor,FP16,FP32,FP64
AMD Athlon 64 3500+,CPU,2/20/2007,65.0,45.0,77.0,122.0,2200,Unknown,AMD,,,
AMD Athlon 200GE,CPU,9/6/2018,14.0,35.0,192.0,4800.0,3200,Unknown,AMD,,,
Intel Core i5-1145G7,CPU,9/2/2020,10.0,28.0,188.4404445518241,1929.9222785421193,2600,Intel,Intel,,,
Intel Xeon E5-2603 v2,CPU,9/1/2013,22.0,80.0,160.0,1400.0,1800,Intel,Intel,,,
AMD Phenom II X4 980 BE,CPU,5/3/2011,45.0,125.0,258.0,758.0,3700,Unknown,AMD,,,
Intel Xeon E5-2470 v2,CPU,9/1/2013,22.0,95.0,160.0,1400.0,2400,Intel,Intel,,,
AMD Phenom X4 9750 (125W),CPU,3/27/2008,65.0,125.0,285.0,450.0,2400,Unknown,AMD,,,
Intel Pentium D 930,CPU,1/16/2006,65.0,130.0,140.0,376.0,3000,Intel,Intel,,,
Intel Core i3-1125G4,CPU,9/2/2020,10.0,28.0,188.4404445518241,1929.9222785421193,2000,Intel,Intel,,,
AMD Athlon 64 X2 4200+,CPU,5/23/2006,90.0,89.0,156.0,154.0,2200,Unknown,AMD,,,
AMD Sempron 2800+,CPU,8/1/2004,130.0,62.0,80.0,37.0,1992,Unknown,AMD,,,
Intel Core i7-3632QM,CPU,10/19/2012,22.0,35.0,160.0,1480.0,2200,Intel,Intel,,,
AMD C-70,CPU,9/1/2012,40.0,9.0,75.0,1929.9222785421193,1000,Unknown,AMD,,,
Intel Core i5-8269U,CPU,4/5/2018,14.0,28.0,123.0,1929.9222785421193,2600,Intel,Intel,,,
AMD Phenom X4 9600 BE,CPU,12/19/2007,65.0,95.0,285.0,450.0,2300,Unknown,AMD,,,
Intel Pentium 3560Y,CPU,9/1/2013,22.0,12.0,118.0,1400.0,1200,Intel,Intel,,,
AMD Turion X2 Ultra ZM-84,CPU,9/1/2008,65.0,35.0,188.4404445518241,1929.9222785421193,2300,Unknown,AMD,,,
Intel Pentium 4 506,CPU,6/1/2005,90.0,84.0,109.0,125.0,2660,Intel,Intel,,,
Intel Xeon E5-2430 v2,CPU,9/1/2013,22.0,80.0,160.0,1400.0,2500,Intel,Intel,,,
AMD Athlon 64 X2 4800+,CPU,5/23/2006,90.0,110.0,199.0,233.0,2400,Unknown,AMD,,,
Intel Core i5-3427U,CPU,6/1/2012,22.0,17.0,118.0,1929.9222785421193,1800,Intel,Intel,,,
AMD Opteron 148 HE,CPU,12/1/2004,90.0,55.0,188.4404445518241,106.0,2200,Unknown,AMD,,,
AMD Athlon 1100,CPU,8/14/2000,180.0,60.0,120.0,37.0,1100,Unknown,AMD,,,
Intel Core i7-975,CPU,6/2/2009,45.0,130.0,263.0,731.0,3333,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,1/1/2001,90.0,67.0,115.0,105.0,2200,Unknown,AMD,,,
Intel Pentium 4 HT 672,CPU,11/14/2005,90.0,84.0,109.0,169.0,3800,Intel,Intel,,,
Intel Pentium D 830,CPU,5/26/2005,90.0,130.0,206.0,169.0,3000,Intel,Intel,,,
AMD EPYC 7371,CPU,11/16/2018,14.0,170.0,213.0,4800.0,3100,GF,AMD,,,
Intel Pentium 4 HT 550,CPU,6/21/2004,90.0,115.0,109.0,125.0,3400,Intel,Intel,,,
Intel Pentium III 1266S,CPU,7/1/2001,130.0,30.0,80.0,44.0,1266,Intel,Intel,,,
AMD Sempron 140,CPU,7/22/2009,45.0,45.0,117.0,234.0,2700,Unknown,AMD,,,
AMD EPYC 7501,CPU,6/29/2017,14.0,170.0,213.0,4800.0,2000,GF,AMD,,,
Intel Atom E680,CPU,9/14/2010,45.0,4.0,26.0,47.0,1600,Intel,Intel,,,
Intel Xeon E5-2690 v2,CPU,9/1/2013,22.0,130.0,160.0,1400.0,3000,Intel,Intel,,,
Intel Xeon Platinum 8380,CPU,4/6/2021,10.0,270.0,188.4404445518241,1929.9222785421193,2300,Intel,Intel,,,
Intel Xeon Phi 7120A,CPU,4/6/2014,22.0,300.0,350.0,5000.0,1238,Intel,Intel,,,
Intel Core i3-8020,CPU,9/1/2018,14.0,65.0,188.4404445518241,1929.9222785421193,3700,Intel,Intel,,,
Intel Atom S1220,CPU,12/11/2012,32.0,8.0,188.4404445518241,1929.9222785421193,1600,Intel,Intel,,,
AMD Phenom X4 9600,CPU,11/19/2007,65.0,95.0,285.0,450.0,2300,Unknown,AMD,,,
Intel Core i3-2330M,CPU,6/1/2011,32.0,35.0,149.0,624.0,2200,Intel,Intel,,,
AMD Opteron X2 180,CPU,9/26/2005,90.0,110.0,188.4404445518241,233.0,2400,Unknown,AMD,,,
AMD E2-3200,CPU,9/7/2011,32.0,65.0,228.0,1178.0,2400,Unknown,AMD,,,
AMD Turion 64 MT-34,CPU,3/10/2005,90.0,25.0,125.0,114.0,1800,Unknown,AMD,,,
Intel Pentium III  866,CPU,6/1/2001,180.0,38.0,80.0,44.0,866,Intel,Intel,,,
Intel Core 2 Quad Q9550S,CPU,1/27/2009,45.0,65.0,107.0,820.0,2833,Intel,Intel,,,
Intel Core i7-4500U,CPU,6/4/2013,22.0,15.0,118.0,1300.0,1800,Intel,Intel,,,
AMD Opteron X2 185,CPU,3/6/2006,90.0,110.0,188.4404445518241,233.0,2600,Unknown,AMD,,,
Intel Core i3-8300,CPU,2/14/2018,14.0,62.0,188.4404445518241,1929.9222785421193,3700,Intel,Intel,,,
AMD Ryzen 5 1400,CPU,4/11/2017,14.0,65.0,192.0,4800.0,3200,GF,AMD,,,
AMD A4-3300M,CPU,6/14/2011,32.0,35.0,228.0,1178.0,1900,Unknown,AMD,,,
Intel Xeon 3.20,CPU,10/6/2003,130.0,97.0,237.0,286.0,3200,Intel,Intel,,,
AMD Opteron 848,CPU,12/1/2004,90.0,85.0,188.4404445518241,106.0,2200,Unknown,AMD,,,
Intel Core 2 Extreme QX6700,CPU,11/1/2006,65.0,130.0,143.0,582.0,2666,Intel,Intel,,,
Intel Pentium Gold G6405T,CPU,3/16/2021,14.0,35.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
AMD A6-3600,CPU,6/30/2011,32.0,65.0,228.0,1178.0,2100,Unknown,AMD,,,
Intel Xeon Phi 7120X,CPU,6/17/2013,22.0,300.0,350.0,5000.0,1238,Intel,Intel,,,
Intel Core i9-10900K,CPU,4/30/2020,14.0,125.0,206.0,1929.9222785421193,3700,Intel,Intel,,,
Intel Pentium 2129Y,CPU,9/1/2012,22.0,10.0,118.0,1400.0,1100,Intel,Intel,,,
AMD Athlon 64 X2 5600+,CPU,12/12/2006,90.0,89.0,220.0,227.0,2800,Unknown,AMD,,,
AMD Athlon II X4 640,CPU,5/11/2010,45.0,95.0,169.0,300.0,3000,Unknown,AMD,,,
Intel Atom Z515,CPU,4/8/2009,45.0,1.0,26.0,47.0,1200,Intel,Intel,,,
AMD EPYC 7302,CPU,8/7/2019,7.0,155.0,74.0,3800.0,3000,TSMC,AMD,,,
Intel Celeron 3205U,CPU,3/1/2015,14.0,15.0,188.4404445518241,1929.9222785421193,1500,Intel,Intel,,,
Intel Core i3-10305T,CPU,3/16/2021,14.0,35.0,188.4404445518241,1929.9222785421193,3000,Intel,Intel,,,
AMD Ryzen 9 5900HX,CPU,1/12/2021,7.0,45.0,156.0,9800.0,3300,TSMC,AMD,,,
AMD EPYC 7502,CPU,8/7/2019,7.0,180.0,74.0,3800.0,2500,TSMC,AMD,,,
AMD Athlon 64 4000+,CPU,2/20/2007,90.0,62.0,230.0,227.0,2600,Unknown,AMD,,,
Intel Pentium III 1400S,CPU,1/8/2002,130.0,32.0,80.0,44.0,1400,Intel,Intel,,,
Intel Core i7-9850HE,CPU,NaT,14.0,45.0,149.0,1929.9222785421193,2700,Intel,Intel,,,
AMD Mobile Athlon 64 3400+,CPU,8/1/2005,130.0,82.0,193.0,106.0,2200,Unknown,AMD,,,
Intel Xeon E5-2620 v2,CPU,9/1/2013,22.0,80.0,160.0,1400.0,2100,Intel,Intel,,,
Intel Core i9-10850K,CPU,7/27/2020,14.0,125.0,206.0,1929.9222785421193,3600,Intel,Intel,,,
Intel Core i5-11600,CPU,3/16/2021,14.0,65.0,188.4404445518241,1929.9222785421193,2800,Intel,Intel,,,
Intel Core i7-3555LE,CPU,6/3/2012,22.0,25.0,118.0,1929.9222785421193,2500,Intel,Intel,,,
Intel Xeon E3-1220L v2,CPU,5/14/2012,22.0,17.0,188.4404445518241,1929.9222785421193,2300,Intel,Intel,,,
Intel Core i3-8130U,CPU,2/13/2018,14.0,15.0,123.0,1929.9222785421193,2400,Intel,Intel,,,
Intel Xeon Platinum 8260,CPU,12/11/2018,14.0,165.0,188.4404445518241,8000.0,2400,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,5/31/2005,90.0,67.0,156.0,154.0,2200,Unknown,AMD,,,
AMD Ryzen 9 5950X,CPU,11/5/2020,7.0,105.0,188.4404445518241,1929.9222785421193,3400,TSMC,AMD,,,
Intel Atom N2600,CPU,12/1/2011,32.0,4.0,66.0,176.0,1600,Intel,Intel,,,
Intel Xeon Platinum 8352M,CPU,4/6/2021,10.0,185.0,188.4404445518241,1929.9222785421193,2300,Intel,Intel,,,
AMD EPYC 7763,CPU,3/15/2021,7.0,280.0,188.4404445518241,1929.9222785421193,2450,TSMC,AMD,,,
Intel Core i7-8809G,CPU,2/1/2018,14.0,65.0,188.4404445518241,1929.9222785421193,3100,Intel,Intel,,,
AMD Ryzen Threadripper PRO 3955WX,CPU,7/14/2020,7.0,280.0,74.0,3800.0,3900,TSMC,AMD,,,
Intel Celeron 2980U,CPU,9/1/2013,22.0,15.0,118.0,1400.0,1600,Intel,Intel,,,
AMD Athlon 64 X2 4000+,CPU,5/23/2006,90.0,89.0,220.0,154.0,2000,Unknown,AMD,,,
Intel Xeon E5-2630L v2,CPU,9/1/2013,22.0,60.0,160.0,1400.0,2400,Intel,Intel,,,
Intel Core i5-3570,CPU,6/1/2012,22.0,77.0,133.0,1929.9222785421193,3400,Intel,Intel,,,
AMD Ryzen 7 3750H,CPU,1/6/2019,12.0,35.0,210.0,4940.0,2300,GF,AMD,,,
Intel A110,CPU,6/1/2007,90.0,3.0,66.0,176.0,800,Intel,Intel,,,
AMD Ryzen 5 5500U,CPU,1/12/2021,7.0,25.0,156.0,9800.0,2100,TSMC,AMD,,,
Intel Core i9-10800F,CPU,4/30/2020,14.0,65.0,188.4404445518241,1929.9222785421193,2700,Intel,Intel,,,
Intel Xeon MP 3.50,CPU,3/29/2005,90.0,135.0,188.4404445518241,1929.9222785421193,3500,Intel,Intel,,,
Intel Core i3-10110U,CPU,8/21/2019,14.0,25.0,188.4404445518241,1929.9222785421193,2100,Intel,Intel,,,
Intel Core i3-10305,CPU,3/16/2021,14.0,65.0,188.4404445518241,1929.9222785421193,3800,Intel,Intel,,,
Intel Core Solo T1350,CPU,1/5/2006,65.0,27.0,90.0,151.0,1866,Intel,Intel,,,
AMD A4-5300B,CPU,10/2/2012,32.0,65.0,246.0,1178.0,3400,Unknown,AMD,,,
